t,o,h,l,c,v
1763369100000.0,3188.95,3191.67,3184.84,3190.25,3062.2813
1763370000000.0,3190.24,3201.2,3179.88,3199.5,10472.324
1763370900000.0,3199.51,3216.84,3199.38,3205.25,6953.3435
1763371800000.0,3205.26,3206.2,3192.93,3199.34,4059.208
1763372700000.0,3199.35,3199.99,3192.9,3195.18,1927.425
1763373600000.0,3195.19,3208.0,3194.64,3206.41,4844.0233
1763374500000.0,3206.4,3206.63,3194.44,3196.36,2738.5121
1763375400000.0,3196.36,3203.0,3191.52,3199.13,2041.8191
1763376300000.0,3199.14,3202.09,3196.36,3196.72,1311.5566
1763377200000.0,3196.73,3203.75,3193.54,3201.45,1964.2572
1763378100000.0,3201.46,3208.01,3199.75,3208.01,1947.3579
1763379000000.0,3208.0,3223.38,3202.21,3202.79,5691.3164
1763379900000.0,3202.8,3208.84,3195.02,3204.12,6630.1724
1763380800000.0,3204.12,3204.38,3188.11,3191.61,4146.1015
1763381700000.0,3191.62,3195.92,3189.77,3192.83,1400.8696
1763382600000.0,3192.83,3196.8,3183.33,3187.92,5346.0802
1763383500000.0,3187.92,3188.1,3182.23,3183.7,2648.067
1763384400000.0,3183.7,3188.96,3161.01,3165.43,9826.9588
1763385300000.0,3165.42,3169.48,3144.74,3149.04,9430.9925
1763386200000.0,3149.03,3155.74,3120.61,3120.65,13302.0814
1763387100000.0,3120.64,3124.96,3095.09,3121.95,17188.0585
1763388000000.0,3121.8,3128.84,3102.62,3123.61,8951.1388
1763388900000.0,3123.61,3141.6,3115.38,3120.93,6752.2444
1763389800000.0,3120.92,3210.88,3114.78,3178.64,32714.9128
1763390700000.0,3178.63,3199.94,3142.44,3152.26,21760.9327
1763391600000.0,3152.26,3166.65,3117.69,3136.55,19621.3633
1763392500000.0,3136.55,3160.36,3105.44,3153.37,15840.6309
1763393400000.0,3153.38,3160.24,3111.22,3128.05,12746.0892
1763394300000.0,3128.05,3137.98,3113.02,3121.04,8154.7541
1763395200000.0,3121.04,3122.72,3075.78,3079.63,17923.2754
1763396100000.0,3079.62,3097.19,3064.21,3092.26,12506.6347
1763397000000.0,3092.25,3118.39,3081.69,3101.53,10663.1456
1763397900000.0,3101.54,3142.56,3099.32,3134.3,10446.4585
1763398800000.0,3134.33,3137.59,3113.23,3115.37,8277.7703
1763399700000.0,3115.37,3118.84,3097.74,3099.77,7789.6915
1763400600000.0,3099.77,3107.99,3067.01,3071.23,14020.397
1763401500000.0,3071.23,3076.5,3054.07,3058.59,14102.3248
1763402400000.0,3058.59,3081.04,3043.27,3057.83,17602.7498
1763403300000.0,3057.82,3062.56,3025.79,3028.2,11875.9411
1763404200000.0,3028.2,3038.93,3025.68,3036.14,11085.6706
1763405100000.0,3036.13,3054.01,3020.0,3024.98,10831.0359
1763406000000.0,3024.97,3038.97,3015.61,3019.19,12466.2726
1763406900000.0,3019.2,3027.43,3006.58,3012.47,16056.37
1763407800000.0,3012.47,3032.8,2979.84,2989.14,36205.0451
1763408700000.0,2989.13,2998.05,2972.88,2982.27,18039.6439
1763409600000.0,2982.27,2985.9,2959.46,2965.43,23645.3432
1763410500000.0,2965.44,3003.83,2963.71,2989.04,16462.6995
1763411400000.0,2989.03,2998.2,2975.0,2983.83,7011.7752
1763412300000.0,2983.83,3022.08,2981.11,3004.66,14318.4644
1763413200000.0,3004.64,3027.94,3003.44,3020.34,9000.8815
1763414100000.0,3020.29,3020.29,2984.81,2997.14,8286.3875
